"","poitype","n"
"1","Academy",19
"2","Airport",103
"3","Ambulance Station",291
"4","Art Gallery",109
"5","Athletics Track",29
"6","Bay / Inlet / Basin",723
"7","Bay Like",28
"8","Beach",647
"9","BMX Track",47
"10","Boat Ramp",774
"11","Bore",1489
"12","Breakwater",16
"13","Cablecar",2
"14","Camping Ground",369
"15","Cave",101
"16","Cemetery",1082
"17","Child Care Centre",436
"18","Childrens Hospital",2
"19","City",30
"20","Cliff",129
"21","Club",1375
"22","Combined Primary-High School",8
"23","Combined Primary-Secondary School",299
"24","Community Facility",2959
"25","Community Home",668
"26","Convent/Monastery",54
"27","Co-operative",18
"28","Court House",188
"29","Crematorium",28
"30","Cycling Track",21
"31","Dam Wall",285
"32","Dog Track",39
"33","Education Facility",63
"34","Embassy",204
"35","Filtration Plant",134
"36","Fire Station",349
"37","Firestation - Bush",1699
"38","Fuel Driven Power Station",23
"39","Gaol",56
"40","Gap Like",3
"41","Gap / Pass / Saddle",609
"42","Gas Facility",67
"43","General Hospital",232
"44","Golf Course",512
"45","Grave",88
"46","Headland",1013
"47","Headland Like",4
"48","Heavy Vehicle Check Station",10
"49","Helipad",114
"50","High School",698
"51","Historic Site",368
"52","Homestead",47839
"53","Hydro Power Station",24
"54","Integrated Health Service",37
"55","Island",497
"56","Island Like",1
"57","Landing Ground",970
"58","Landing Ramp",8
"59","Launching Ramp",40
"60","Library",418
"61","Lighthouse",42
"62","Local Government Chambers",173
"63","Locality",5010
"64","Lock",6
"65","Lookout",810
"66","Manmade Waterbody",6378
"67","Marina",73
"68","Medical Centre",463
"69","Mine - Underground",9
"70","Monument",557
"71","Motor Racing Track",81
"72","Mountain/Hill/Peak",5558
"73","Mountain Like",21
"74","Multi Purpose Service",57
"75","Museum",283
"76","Natural Waterbody",1177
"77","Nursing Home",326
"78","Observation Tower",69
"79","Observatory",51
"80","Outdoor Theatre",13
"81","Park",13094
"82","Parking Area",3
"83","Peninsula Like",2
"84","Peninsula / Spit",24
"85","Picnic Area",1189
"86","Place Of Worship",4164
"87","Plateau / Tableland",61
"88","Police Station",456
"89","Post Office",1147
"90","Power Station - Solar",2
"91","Power Station - Wind",4
"92","Preschool",161
"93","Primary School",2324
"94","Psychiatric Hospital",21
"95","Pumping Station",13
"96","Quarry - Open Cut",164
"97","Racecourse",143
"98","Railway Station",517
"99","Rapids",21
"100","Reach / River Bend",396
"101","Reef",63
"102","Regulator",22
"103","Research Station",62
"104","Retirement Village",836
"105","Roadside Emergency Telephone",748
"106","Roadside Rest Area",1087
"107","Rock Awash",81
"108","Rubbish Depot",346
"109","Sandbar / Shoal",22
"110","SES Facility",316
"111","Sewage Works",328
"112","Ship Wreck",3
"113","Shopping Centre",488
"114","Showground",237
"115","Silo - Commercial",29
"116","Slipway",173
"117","Solar Power Station",3
"118","Special School",229
"119","Sports Centre",334
"120","Sports Court",2370
"121","Sports Field",3900
"122","Spring",108
"123","Stock Sale Yard",10
"124","Suburb",1128
"125","Swamp",688
"126","Swimming Pool",425
"127","Swimming Pool Facility",141
"128","TAFE College",153
"129","Target Range",165
"130","Technical College",7
"131","Tourist Attraction",181
"132","Tourist Information Centre",228
"133","Tourist Park / Home Village",922
"134","Town",386
"135","Training Track",15
"136","Transmission Station",19
"137","Transport Interchange",95
"138","Trotting Track",45
"139","University",70
"140","Village",903
"141","Waterfall",346
"142","Wharf",5291
"143","Wind Power Station",8
"144","Zoo",7
